"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"5";"1k";"RESISTOR-US2012";"SMD2012";"R2, R4, R5, R6, R7";"Generic Registor";"";
"2";"5.1k";"RESISTOR-US2012";"SMD2012";"R1, R3";"Generic Registor";"";
"1";"IRKit ICSP";"PINHD-2X3";"2X03";"ICSP";"PIN HEADER";"";
"1";"IRKit Wifi";"PINHD-2X4";"2X04";"CN1";"PIN HEADER";"";
"1";"JAPANINO-SLIM";"JAPANINO-SLIM";"JAPANINO-SLIM";"IC1";"";"";
"2";"OSG50805C1C";"LED-2012";"LED2012";"LED1, LED2";"Through-hole LED";"";
"1";"SLIDE-SWITCH4/2";"SLIDE-SWITCH4/2";"SLIDE-SWITCH-MCS421N";"SW2";"";"";
"1";"SS12D01G4";"SLIDE-SWITCH1/2";"SS12D01G4";"SW1";"SLIDING SWITCH";"";
"4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4";"#4 Stand Off";"";
"1";"TTL-232R-3V3";"PINHD-1X6/90";"1X06/90";"JP1";"PIN HEADER";"";
